section,My fellow students contributed to my learning in this course.,"n this course, my ability to think creatively and take intellectual risks increased."
"MA206    H2 1 - CLARK, N",Strongly Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Neutral,Neutral
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Neutral
"MA206    H2 1 - CLARK, N",Agree,Neutral
"MA206    H2 1 - CLARK, N",Strongly Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Strongly Agree
"MA206    H2 1 - CLARK, N",Agree,Agree
"MA206    H2 1 - CLARK, N",Agree,Neutral
"MA206    H2 1 - CLARK, N",Agree,Neutral
"MA206    H2 1 - CLARK, N",Strongly Agree,Agree
"MA206    H2 1 - CLARK, N",Strongly Agree,Disagree
"MA206    H2 1 - CLARK, N",Strongly Disagree,Disagree
"MA206    I2 1 - CLARK, N",Strongly Agree,Disagree
"MA206    I2 1 - CLARK, N",Strongly Agree,Strongly Agree
"MA206    I2 1 - CLARK, N",Agree,Neutral
"MA206    I2 1 - CLARK, N",Disagree,Agree
"MA206    I2 1 - CLARK, N",Agree,Neutral
"MA206    I2 1 - CLARK, N",Neutral,Strongly Agree
"MA206    I2 1 - CLARK, N",Strongly Agree,Agree
"MA206    I2 1 - CLARK, N",Agree,Agree
"MA206    I2 1 - CLARK, N",Agree,Strongly Agree
"MA206    I2 1 - CLARK, N",Strongly Agree,Strongly Agree
"MA206    I2 1 - CLARK, N",Agree,Agree
"MA206    I2 1 - CLARK, N",Agree,Neutral
"MA206    I2 1 - CLARK, N",Agree,Agree
"MA206    I2 1 - CLARK, N",Agree,Agree
"MA206    I2 1 - CLARK, N",Neutral,Neutral
"MA206    I2 1 - CLARK, N",Agree,Neutral
