PolParty,PolViews,Race,Gender,HighestDegree,Age,Children,MaritalStatus,LaborForceStatus
Independent,Moderate,Black,Female,HighSchool,32,4,Married,StayAtHome
Democrat,Liberal,Black,Male,JrCol,26,1,Married,FullTime
Democrat,Moderate,Other,Male,HighSchool,73,2,Divorced,Retired
Independent,Liberal,White,Male,HighSchool,66,2,Married,FullTime
Independent,Moderate,White,Male,HighSchool,25,0,NeverMarried,PartTime
Independent,Conservative,White,Male,Graduate,40,0,NeverMarried,FullTime
Democrat,Liberal,White,Female,Graduate,42,2,Married,FullTime
Democrat,Moderate,White,Female,Graduate,68,1,Widowed,StayAtHome
Republican,Moderate,White,Female,HighSchool,63,2,Widowed,FullTime
Republican,Conservative,White,Male,HighSchool,41,2,Married,FullTime
Republican,Conservative,White,Male,SomeHS,73,3,Married,PartTime
Democrat,Moderate,White,Female,SomeHS,87,7,Widowed,StayAtHome
Independent,Conservative,White,Male,Bachelor,38,3,Married,FullTime
Democrat,Conservative,Other,Male,Graduate,64,2,Married,FullTime
Independent,Moderate,White,Male,Graduate,74,3,Married,Retired
Democrat,Liberal,White,Male,Bachelor,24,0,NeverMarried,PartTime
Independent,Conservative,White,Male,Bachelor,35,1,Married,FullTime
Republican,Conservative,Other,Male,Graduate,50,2,Married,FullTime
Democrat,Moderate,White,Male,Graduate,37,0,NeverMarried,FullTime
Independent,Liberal,White,Female,HighSchool,23,0,NeverMarried,PartTime
Independent,Liberal,White,Male,HighSchool,20,0,NeverMarried,PartTime
Democrat,Moderate,Black,Female,HighSchool,68,2,Widowed,StayAtHome
Democrat,Moderate,White,Female,SomeHS,20,1,NeverMarried,StayAtHome
Republican,Moderate,White,Male,HighSchool,49,4,Married,FullTime
Independent,Conservative,White,Male,SomeHS,27,1,Divorced,FullTime
Republican,Conservative,White,Female,Bachelor,53,0,Widowed,StayAtHome
Independent,Liberal,White,Male,Graduate,29,3,Divorced,FullTime
Republican,Conservative,White,Male,HighSchool,61,5,Married,StayAtHome
Democrat,Moderate,White,Female,HighSchool,63,8,Married,StayAtHome
Independent,Conservative,White,Male,HighSchool,33,6,Married,FullTime
Independent,Liberal,White,Male,Bachelor,23,0,NeverMarried,FullTime
